line,text
451,"CERSEI: I suppose you'll never know, Prince Oberyn. It's a shame your older brother couldn't attend the wedding."
452,"TYWIN: Please give him our regards. With any luck, the gout will abate with time and he will be able to walk again."
453,OBERYN: They call it the rich man's disease. A wonder you don't have it.
454,TYWIN: Noblemen in my part of the country don't enjoy the same lifestyle as our counterparts in Dorne.
455,"OBERYN: People everywhere have their differences. In some places, the highborn frown upon those of low birth. In other places, the rape and murder of women and children is considered distasteful. What a fortunate thing for you, former Queen Regent, that your daughter Myrcella has been sent to live in the latter sort of place."
456,JOFFREY taps his goblet.
457,"JOFFREY: Everyone, silence! Clear the floor. There's been too much amusement here today. A royal wedding is not an amusement. A royal wedding is history. The time has come for all of us to contemplate our history. My lords... my ladies..."
458,A lever is pulled. A giant lion's mouth opens. A red carpet rolls down.
459,"JOFFREY: I give you. King Joffrey... Renly, Stannis, Robb Stark, Balon Greyjoy. The War of the Five Kings."
460,"Five dwarves come down from the lion's mouth, each dressed as one of the five kings. They run about, playing their roles with comic glee. The crowd applauds. JOFFREY is very pleased. TYRION, less so."
461,RENLY DWARF: I'm the rightful king.
462,ROBB DWARF: King in the North!
463,JOFFREY DWARF: Yes!
464,BALON DWARF: Traitor. You're a traitor.
465,JOFFREY DWARF: For the Seven Kingdoms!
466,The dwarves line up on the stage.
467,JOFFREY DWARF: Let the war begin.
468,The crowd applauds. RENLY DWARF starts the prance about the stage.
469,"STANNIS DWARF: Renly, you're no king."
470,"BALON DWARF: Away, degenerate. Away. Away."
471,"RENLY DWARF: Ooh, careful."
472,STANNIS DWARF: Go on.
473,RENLY DWARF: I want you to be my prince. Stannis!
474,STANNIS DWARF and RENLY DWARF feign some indecent acts. LORAS leaves in disgust.
475,"BALON DWARF: Who's got the gold now, Stark?"
476,ROBB DWARF: I am the rightful king.
477,"BALON DWARF: Challenge me, ruffian."
478,ROBB DWARF: Take that.
479,BALON DWARF: I'm drowning. I'm drowning.
480,ROBB DWARF: I am the King in the North!
481,TYRION and SANSA are not amused.
482,JOFFREY DWARF shoots and arrow and hits STANNIS DWARF.
483,STANNIS DWARF: Not wildfire!
484,"The crowd applauds. STANNIS DWARF runs off the stage, crying."
485,TYRON: Pay each of them 20 gold when this is done.
486,"PODRICK: Yes, my lord."
487,TYRION: We'll have to find another way to thank the king.
488,"JOFFREY is enjoying the spectacle, but MARGAERY is not."
489,JOFFREY DWARF and ROBB DWARF are having a stand off.
490,JOFFREY DWARF: Charge!
491,They run past one another without landing a blow.
492,"JOFFREY DWARF: Ready, again."
493,ROBB DWARF: I am the King in the North! - Charge!
494,JOFFREY DWARF: Charge! Yes!
495,"This time, JOFFREY DWARD knocks off ROBB DWARF's wolf helmet."
496,JOFFREY DWARF: Your head!
497,"SANSA is mortified. JOFFREY laughs hysterically while MARGAERY looks at him, appalled."
498,ROBB DWARF falls. The crowd applauds. JOFFREY DWARF claims victory.
499,JOFFREY grabs his goblet.
500,"JOFFREY DWARF feigns sodomizing the wolf head. SANSA is motionless. JOFFREY spits out his wine, laughing."
501,JOFFREY DWARF: Fine gentlemen.
502,The players take their bow and the crowd applauds. JOFFREY stands.
503,"JOFFREY: Well fought. Well fought. Here you are. Champion's purse. Though you're not the champion yet, are you? A true champion defeats all the challengers. Surely there are others out there who still dare to challenge my reign. Uncle. How about you? I'm sure they have a spare costume."
504,The crowd laughs. TYRION stands.
505,"TYRION: One taste of combat was enough for me, Your Grace. I would like to keep what remains of my face. I think you should fight him. This was but a poor imitation of your own bravery on the field of battle. I speak as a firsthand witness. Climb down from the high table with your new Valyrian sword and show everyone how a true king wins his throne. Be careful, though. This one is clearly mad with lust. It would be a tragedy for the king to lose his virtue hours before his wedding night."
506,"TYRION sits, and JOFFREY is angered at his insults. The crowd quiets. JOFFREY walks over and pours his wine on TYRION's head. MARGAERY sits motionless."
507,TYRION: A fine vintage. Shame that it spilled.
508,JOFFREY: It did not spill.
509,"MARGAERY: My love, come back to me. It's time for my father's toast."
510,"JOFFREY: Well, how does he expect me to toast without wine? Uncle, you can be my cup-bearer seeing as you're too cowardly to fight."
511,TYRION: Your Grace does me a great honor.
512,JOFFREY: (miffed) It's not meant as an honor.
513,"TYRION stands and walks over to JOFFREY, who purposely drops his goblet. As TYRION tried to pick it up, he kicks it away."
514,JOFFREY: Bring me my goblet.
515,TYRION kneels down to get the goblet. SANSA watches JOFFREY. She picks up the goblet and hands it to TYRION. He brings it to JOFFREY.
516,JOFFREY: What good is an empty cup? Fill it.
517,"TYRION pours wine for JOFFREY in front of CERSEI, and hands it to him."
518,JOFFREY: Kneel. Kneel before your king.
519,TYRION does not budge.
520,JOFFREY: Kneel. I said... kneel!
521,"MARGAERY: (Standing) Look, the pie."
522,"The crowd applauds, and the attention turns to the giant pie carried in by four men."
523,JOFFREY: My queen.
524,"JOFFREY strides forward, and hews the pie with his sword. To his surprise, doves are released from the pie. He looks triumphant."
525,MARGAERY: Wonderful. Wonderful. My hero.
526,The pie is served to the guests.
527,SANSA: Can we leave now?
528,TYRION: Let's find out.
529,MARGAERY feeds a forkful of pie to JOFFREY.
530,"JOFFREY: Uncle. Where are you going? You're my cup-bearer, remember?"
531,"TYRION: I thought I might change out of these wet clothes, Your Grace."
532,"JOFFREY: No, no, no. No, you're perfect the way you are. Serve me my wine."
533,TYRION looks to SANSA.
534,"JOFFREY: Well, hurry up. This pie is dry."
535,TYRION and fumes has he gets the goblet for JOFFREY. JOFFREY drinks deeply.
536,"JOFFREY: Mm, good. Needs washing down."
537,"TYRION: If it please Your Grace, Lady Sansa is very tired."
538,"JOFFREY: No. (coughing) No, you'll wait here... un..."
539,"JOFFREY grabs his own throat, choking."
540,TYRION: Your Grace?
541,JOFFREY: It's nothing.
542,MARGAERY: He's choking!
543,OLENNA: Help the poor boy.
544,"JOFFREY turns towards the crowd, choking and staggering."
545,"OLENNA: Idiots, help your king."
546,JAIME: Move away!
547,"JAIME runs to JOFFREY, as he vomits."
548,JAIME: Joffrey! Joffrey!
549,CERSEI runs to them.
550,CERSEI: Help him! Someone help him!
551,JOFFREY: (gags)
552,CERSEI: Joffrey!
553,SER DONTOS: (to SANSA) Come with me now.
554,CERSEI: Joffrey! Joffrey!
555,"TYRION and MARGAERY watch, aghast. CERSEI and JAIME continue to try to help JOFFREY."
556,"SER DONTOS: If you want to live, we have to leave."
557,CERSEI: Don't touch him!
558,"JOFFREY gurgles and chokes. His face is turning purple, his eyes glazed, vomit lining his cheeks. He spasms."
559,"CERSEI: Joffrey. Please, Joffrey. Joffrey, what is it? Help him!"
560,"Blood streams out of JOFFREY's nose. He convulses painfully. CERSEI cries as she watches him. He reaches a hand out towards TYRION, who at that moment picks up the goblet from before him. JOFFREY gaps a final time as blood continues to stream from his nose, his face a horrid shade of purple. He dies."
561,CERSEI: My son.
562,MAN: He's gone. Our king is gone.
563,"CERSEI: He did this. He poisoned my son, your king. Take him. Take him! Take him! Take him!"
564,Two guards grab TYRION. CERSEI looks upon the lifeless body of JOFFREY.
